Datetime,Open,High,Low,Close,Adj Close,Vol
2020-11-19T00:00:00.000Z,17777.75,17810,17777.39,17791.92,17791.92,53.82555
2020-11-19T00:01:00.000Z,17791.92,17810,17789.38,17808.41,17808.41,51.61911
2020-11-19T00:02:00.000Z,17808.41,17808.41,17771.52,17777.31,17777.31,50.17257
2020-11-19T00:03:00.000Z,17777.32,17785.74,17754.52,17766.97,17766.97,112.629005
2020-11-19T00:04:00.000Z,17766.96,17777.37,17754.11,17754.11,17754.11,49.262617
2020-11-19T00:05:00.000Z,17754.11,17766.62,17742.74,17743.35,17743.35,48.999409
2020-11-19T00:06:00.000Z,17743.83,17768.57,17734.13,17757.99,17757.99,52.330537
2020-11-19T00:07:00.000Z,17757.98,17763.54,17744.27,17747.83,17747.83,43.925778
2020-11-19T00:08:00.000Z,17747.84,17760.44,17737.58,17738.55,17738.55,19.454327
2020-11-19T00:09:00.000Z,17738.55,17742.08,17716.72,17721.87,17721.87,65.736111
2020-11-19T00:10:00.000Z,17721.88,17738.18,17716.97,17717.8,17717.8,75.197864
2020-11-19T00:11:00.000Z,17717.8,17724.5,17700.86,17709.29,17709.29,86.245984
2020-11-19T00:12:00.000Z,17709,17709.01,17697.09,17702.52,17702.52,42.063115
2020-11-19T00:13:00.000Z,17702.76,17723.49,17700,17705.08,17705.08,47.740938
2020-11-19T00:14:00.000Z,17705.07,17708.74,17671.92,17688.29,17688.29,71.194288
2020-11-19T00:15:00.000Z,17692.06,17725.9,17690.92,17725.21,17725.21,86.184318
2020-11-19T00:16:00.000Z,17725.21,17733.39,17707.07,17722.49,17722.49,36.49125
2020-11-19T00:17:00.000Z,17724.26,17724.26,17680,17680,17680,72.907322
2020-11-19T00:18:00.000Z,17680.01,17688,17629.63,17629.63,17629.63,161.486106
2020-11-19T00:19:00.000Z,17629.63,17657.2,17605.13,17652.57,17652.57,183.060757
2020-11-19T00:20:00.000Z,17652.57,17674.26,17633,17672.35,17672.35,55.211298
2020-11-19T00:21:00.000Z,17672.36,17688.13,17671.83,17678.35,17678.35,31.008884
2020-11-19T00:22:00.000Z,17678.34,17681.8,17659.37,17662.91,17662.91,25.629051
2020-11-19T00:23:00.000Z,17662.9,17688.5,17655.19,17686.5,17686.5,61.538644
2020-11-19T00:24:00.000Z,17686.49,17688.61,17670.66,17674.17,17674.17,26.247681
2020-11-19T00:25:00.000Z,17674.16,17688.5,17667.5,17685.88,17685.88,50.18016
2020-11-19T00:26:00.000Z,17685.88,17692.25,17671.5,17690.23,17690.23,24.854834
2020-11-19T00:27:00.000Z,17690.24,17712.5,17690.11,17690.59,17690.59,96.971583
2020-11-19T00:28:00.000Z,17690.59,17703.38,17670,17676.37,17676.37,57.123779
